Experiment config name,Decentral max time prediction,Actual max time,Percent change in max time,Time taken for solving the problem
37_4_8_8_37,1235.2668809982313,1031.673101430286,16.481764604861684,12.128942012786865,True
29_4_8_8_29,537.3513214401846,487.5188967685623,9.273713989957953,3.037618398666382,True
52_4_8_8_52,1167.3877204152227,903.7308884102501,22.58519833592165,23.622340202331543,True
26_4_8_8_26,1294.6526175527758,1157.0760560216677,10.626523259278848,18.009625673294067,True
34_4_8_8_34,1150.2082022766867,961.8348254261682,16.37732859821883,14.275481462478638,True
23_4_8_8_23,977.2446556228244,807.6776965381937,17.351536087609624,8.436967611312866,True
38_4_8_8_38,1140.5998905131423,941.7840292585674,17.430815390060225,8.25417971611023,True
68_4_8_8_68,1181.2230585731552,924.3926614178582,21.742751742886927,17.183197498321533,True
65_4_8_8_65,1347.0992540620773,1173.4968956656676,12.88712452871789,11.751229524612427,True
57_4_8_8_57,1189.917627606394,991.6208521375183,16.664748119394122,7.863771200180054,True
33_4_8_8_33,1202.4381814913638,977.8538225163845,18.677414143355886,16.128186464309692,True
44_4_8_8_44,1654.2050653236793,1407.2077977230456,14.931478132809584,14.441092252731323,True
53_4_8_8_53,1035.1688216820685,890.1777236699938,14.00651709896705,3.013326644897461,True
48_4_8_8_48,1388.9413260755798,1217.1239177858256,12.370386355715986,6.29157829284668,True
31_4_8_8_31,954.8523823735501,794.2795583135016,16.81650766382341,11.195149898529053,True
45_4_8_8_45,1255.78116263915,1094.1150302609205,12.873750394413609,9.622236490249634,True
28_4_8_8_28,1708.23294145694,1409.760879796211,17.472562108898583,25.90952444076538,True
10_4_8_8_10,1234.514983147686,977.7222430410584,20.80110355986723,19.23190689086914,True
60_4_8_8_60,1035.2083283890865,903.1769941118008,12.754083468662097,7.60526967048645,True
11_4_8_8_11,1119.0435348168699,994.5692460204277,11.123274915020371,6.86653208732605,True
17_4_8_8_17,1016.689973940961,776.0574960976312,23.668225713938558,13.71375823020935,True
19_4_8_8_19,952.642630214012,807.0864341261104,15.279202449212493,6.183603525161743,True
35_4_8_8_35,867.6476455232387,705.8603225787008,18.646661900058675,4.658244848251343,True
32_4_8_8_32,1393.00842465905,1232.4816417261293,11.52374817634078,10.249190330505371,True
00_4_8_8_0,915.1354746124579,782.3711704666551,14.507612023457602,9.95263409614563,True
07_4_8_8_7,1047.9969202645566,858.0600129079014,18.12380396201045,7.394576787948608,True
56_4_8_8_56,1257.7923079814013,1076.2950339670083,14.429828586380319,10.131312847137451,True
69_4_8_8_69,1172.9793690299534,984.8968799927056,16.034594810716136,16.19965934753418,True
43_4_8_8_43,1205.16959866463,981.712674300246,18.54153345819394,15.210578203201294,True
55_4_8_8_55,1285.178680537772,1153.2962652577821,10.26179606596063,3.8120455741882324,True
41_4_8_8_41,1280.1618388115064,1111.7287867686603,13.157168643553558,11.992209434509277,True
06_4_8_8_6,1275.4622175169166,1076.256448772362,15.61831985367394,8.838650465011597,True
25_4_8_8_25,1214.7025985952614,1063.8956953733134,12.415129711284731,10.024169683456421,True
51_4_8_8_51,1352.72099216634,1166.1986351657918,13.788679120136857,5.698540210723877,True
50_4_8_8_50,1377.429925626821,1203.1876507995746,12.649810461171349,8.607064485549927,True
63_4_8_8_63,1085.4728452847744,912.8106631250125,15.906633031843725,12.045703887939453,True
36_4_8_8_36,1252.6619660336069,1115.963211623137,10.912661046404146,7.017240524291992,True
64_4_8_8_64,1298.604990116391,1075.2752914302837,17.197662136358403,23.51119637489319,True
04_4_8_8_4,1086.4066856548063,974.7070845778555,10.281564220090052,6.405170440673828,True
49_4_8_8_49,1164.0786140468426,1050.34774051591,9.77003375532816,16.53508448600769,True
58_4_8_8_58,1349.4534686300403,1136.937701214526,15.748284202141441,12.754516839981079,True
01_4_8_8_1,1027.430342093442,887.3990078162203,13.62927767851402,7.858636379241943,True
05_4_8_8_5,1319.656466043859,1100.8679425153118,16.5792029333546,9.902326822280884,True
22_4_8_8_22,1136.9114452079436,951.5578611413273,16.30325605814574,5.050204277038574,True
16_4_8_8_16,1185.4041912898847,970.440977538322,18.134170212242353,8.022773027420044,True
39_4_8_8_39,905.202509798179,786.3809872699062,13.12651271313475,7.476769685745239,True
27_4_8_8_27,1203.7456396106377,982.5247268806137,18.377712487629854,10.243692636489868,True
08_4_8_8_8,1301.9764316199328,1135.5956425412521,12.779093771433935,8.855373859405518,True
62_4_8_8_62,1419.690456586902,1211.203177687275,14.685403985940301,20.37284827232361,True
61_4_8_8_61,1142.505371657633,1056.7874875267512,7.502624167667229,6.896942853927612,True
54_4_8_8_54,1492.6976330563155,1299.3951839244055,12.949873092256533,6.530465126037598,True
09_4_8_8_9,1262.1685259340134,1048.0422539335768,16.964951003035164,15.345590829849243,True
14_4_8_8_14,1226.2718749021017,1049.1252839267934,14.445947477140878,7.6704323291778564,True
40_4_8_8_40,1149.2095157241088,1024.4756046489313,10.853887769679975,8.676615953445435,True
13_4_8_8_13,1091.6042980848656,997.4282767707667,8.627304003778963,7.652765274047852,True
21_4_8_8_21,1061.2724530915962,895.7812918850575,15.593654647724609,13.659775018692017,True
03_4_8_8_3,1143.212513570285,961.1012781878064,15.929779740928481,7.203392267227173,True
18_4_8_8_18,1128.4295058127907,1020.9959564256526,9.520625686737546,2.877500295639038,True
59_4_8_8_59,1456.9123501880435,1295.7494399561397,11.061949623194737,5.158764600753784,True
24_4_8_8_24,1392.7075235962998,1178.1107947789887,15.40859980875034,11.852270603179932,True
66_4_8_8_66,1502.068653669411,1243.1036590920978,17.240556478206663,11.871799230575562,True
30_4_8_8_30,923.0702433137068,780.688520836139,15.424798221902941,5.148104667663574,True
02_4_8_8_2,1667.7739970376078,1417.335429931386,15.01633719862911,15.832213878631592,True
67_4_8_8_67,1090.5475399101274,863.1285738662787,20.85364990714577,5.026395320892334,True
42_4_8_8_42,1067.1751971049011,886.7966441979984,16.902431146848695,8.032935380935669,True
20_4_8_8_20,887.9493512558595,811.5582515639263,8.603092010134409,8.792592763900757,True
15_4_8_8_15,918.8699061031589,795.205056760239,13.458363204794779,4.864913463592529,True
46_4_8_8_46,1028.9067676099098,892.5711045639185,13.250536135814428,12.835814952850342,True
12_4_8_8_12,1070.9885863053926,961.1207878725818,10.258540551942163,10.636710405349731,True
47_4_8_8_47,817.9719797565348,664.6144582102163,18.748505491834155,8.759567022323608,True
