Experiment config name,Optimal cost,Raw CBAA,Raw ADMM,CBAA,ADMM,Greedy
60_4_8_8_0,773.683,1191.05805708284,994.210100445329,1.53946520355603,1.28503547376035,1.52904580737987
61_4_8_8_1,818.334,937.241342515339,1079.03294015512,1.14530416983205,1.31857278342965,1.34298338445245
62_4_8_8_2,869.046,922.858713782778,869.165614121553,1.06192159423411,1.00013763842369,1.40994008016634
63_4_8_8_3,870.153,917.38650840358,891.91130203614,1.05428184285244,1.02500514511372,1.51028445820082
64_4_8_8_4,1055.583,1071.15606064269,1266.08557350306,1.01475304229292,1.19941830581116,1.35400028076457
65_4_8_8_5,625.046,801.707825372446,785.313332663207,1.2826381184304,1.25640886056899,1.83022776733297
66_4_8_8_6,556.538,755.180320403064,657.880158567244,1.35692499057219,1.18209387062023,1.82702045445134
67_4_8_8_7,780.962,846.988508961304,957.475373506933,1.08454509817546,1.22602043826324,1.58109090581699
68_4_8_8_8,786.795,1030.99241865365,816.540178710394,1.31036981507718,1.03780550042946,1.20212682690216
69_4_8_8_9,776.004,1109.23868182005,831.764204788514,1.42942392284067,1.07185556361631,1.60163972911132
70_4_8_8_10,1156.597,1472.68954575437,1373.93270751913,1.27329531872759,1.18790962411205,1.73862782369366
71_4_8_8_11,1000.948,1349.115122037,1241.40459946595,1.34783737220815,1.2402288625043,1.35498940347956
72_4_8_8_12,833.557,1171.92052246667,1361.16761449509,1.4059272760791,1.63296285016512,1.25365764036704
73_4_8_8_13,904.56,1017.61593089842,1069.13130653088,1.12498444646947,1.18193520223189,1.09691077130464
74_4_8_8_14,912.252,1196.78436182517,1100.65369820136,1.31190105565696,1.20652374366004,1.18449184242026
75_4_8_8_15,951.619,1320.38157491564,1107.71406399412,1.38751073162226,1.16403105023557,1.37213504233769
76_4_8_8_16,692.314,812.032408239478,815.580011269895,1.17292501414023,1.17804928294083,1.3501840370513
77_4_8_8_17,583.679,828.887548428299,889.765108229717,1.42010856725751,1.52440829330799,1.24245712481346
78_4_8_8_18,763.942,1036.08666440566,860.202490037668,1.3562373379205,1.12600497163092,1.71979216692408
79_4_8_8_19,553.021,634.063594902554,553.505524647391,1.14654523951632,1.00087614149805,1.43109370887126
80_4_8_8_20,864.494,900.282616387095,1023.76227197873,1.04139833982317,1.18423294086336,1.21032036899425
81_4_8_8_21,937.877,1263.96585845791,1116.86704386669,1.34768829863395,1.19084596793256,1.47735510228037
82_4_8_8_22,574.372,628.232616598973,824.112003238185,1.09377305404681,1.43480532344575,1.16675499519089
83_4_8_8_23,1004.651,1052.25504825139,1219.35860838015,1.04738366681702,1.21371362630421,1.39834830354845
84_4_8_8_24,764.103,1062.26641515469,1029.3633492491,1.39021364286581,1.34715260802418,1.22022147998508
85_4_8_8_25,578.375,721.704612894978,806.274278457411,1.24781432962175,1.39403376435256,1.40926657803474
86_4_8_8_26,809.214,948.151523568264,1030.50911806974,1.17169441404655,1.27346921589313,1.86357872069328
87_4_8_8_27,741.799,872.11986591297,900.095082308611,1.17568218063515,1.21339484457193,1.29088512139838
88_4_8_8_28,935.894,1022.50500885351,1123.46413142314,1.09254360948303,1.20041813648035,1.19738522054952
89_4_8_8_29,879.044,1161.86099173646,912.977829591701,1.32173246360417,1.03860310700227,1.26129234709569
00_4_8_8_0,,657.318881505922,782.371170466655,,,
01_4_8_8_1,,997.037765957632,887.39900781622,,,
02_4_8_8_2,,1193.97582107803,1417.33542993139,,,
03_4_8_8_3,,1261.38911197681,961.101278187807,,,
04_4_8_8_4,,1140.95307028693,974.707084577856,,,
05_4_8_8_5,,985.241961204131,1100.86794251531,,,
06_4_8_8_6,,964.543651982869,1076.25644877236,,,
07_4_8_8_7,,987.868689485851,858.060012907901,,,
08_4_8_8_8,,964.91828087588,1135.59564254125,,,
09_4_8_8_9,,1096.6143420034,1048.04225393358,,,
10_4_8_8_10,,978.159341293613,977.722243041058,,,
11_4_8_8_11,,903.469983167173,994.569246020428,,,
12_4_8_8_12,,860.907448503378,961.120787872582,,,
13_4_8_8_13,,1336.93356077559,997.428276770767,,,
14_4_8_8_14,,882.706618432011,1049.12528392679,,,
15_4_8_8_15,,904.516313375124,795.205056760239,,,
16_4_8_8_16,,990.782155084228,970.440977538322,,,
17_4_8_8_17,,845.210868130109,776.057496097631,,,
18_4_8_8_18,,1174.06339295663,1020.99595642565,,,
19_4_8_8_19,,901.66449836192,807.08643412611,,,
20_4_8_8_20,,940.864589239421,811.558251563926,,,
21_4_8_8_21,,875.065102104876,895.781291885058,,,
22_4_8_8_22,,951.214750876368,951.557861141327,,,
23_4_8_8_23,,930.851301268721,807.677696538194,,,
24_4_8_8_24,,1143.62169964149,1178.11079477899,,,
25_4_8_8_25,,925.640380398032,1063.89569537331,,,
26_4_8_8_26,,1092.77783481573,1157.07605602167,,,
27_4_8_8_27,,883.728377118401,982.524726880614,,,
28_4_8_8_28,,1136.64882880903,1409.76087979621,,,
29_4_8_8_29,,630.320837218063,487.518896768562,,,
30_4_8_8_30,,836.069100529094,780.688520836139,,,
31_4_8_8_31,,801.090065702704,794.279558313502,,,
32_4_8_8_32,,1356.95643341906,1232.48164172613,,,
33_4_8_8_33,,961.912242357112,977.853822516385,,,
34_4_8_8_34,,1052.88012532755,961.834825426168,,,
35_4_8_8_35,,941.85606120116,705.860322578701,,,
36_4_8_8_36,,1269.90838600574,1115.96321162314,,,
37_4_8_8_37,,985.054206213819,1031.67310143029,,,
38_4_8_8_38,,1208.16527218799,941.784029258568,,,
39_4_8_8_39,,1135.6967540598,786.380987269906,,,
40_4_8_8_40,,1053.99881197352,1024.47560464893,,,
41_4_8_8_41,,1200.09501423956,1111.72878676866,,,
42_4_8_8_42,,949.151409477816,886.796644197998,,,
43_4_8_8_43,,947.895270732429,981.712674300246,,,
44_4_8_8_44,,1459.95711265469,1407.20779772305,,,
45_4_8_8_45,,1120.6413719713,1094.11503026092,,,
46_4_8_8_46,,964.638821101237,892.571104563918,,,
47_4_8_8_47,,821.894369248892,664.614458210216,,,
48_4_8_8_48,,1029.20709716896,1217.12391778583,,,
49_4_8_8_49,,1429.88412230521,1050.34774051591,,,
50_4_8_8_50,,1089.36913043479,1203.18765079957,,,
51_4_8_8_51,,933.58326910226,1166.19863516579,,,
52_4_8_8_52,,967.146819348157,903.73088841025,,,
53_4_8_8_53,,1101.57091958206,890.177723669994,,,
54_4_8_8_54,,1088.65349915685,1299.39518392441,,,
55_4_8_8_55,,1227.43778617892,1153.29626525778,,,
56_4_8_8_56,,1048.74900503928,1076.29503396701,,,
57_4_8_8_57,,1016.998114421,991.620852137518,,,
58_4_8_8_58,,1018.40678463536,1136.93770121453,,,
59_4_8_8_59,,1353.91717355996,1295.74943995614,,,
60_4_8_8_60,,1053.44685051529,903.176994111801,,,
61_4_8_8_61,,1311.35754732164,1056.78748752675,,,
62_4_8_8_62,,937.555846599638,1211.20317768728,,,
63_4_8_8_63,,1087.9585628039,912.810663125013,,,
64_4_8_8_64,,1182.08384732322,1075.27529143028,,,
65_4_8_8_65,,1308.01929090353,1173.49689566567,,,
66_4_8_8_66,,1315.17318546889,1243.1036590921,,,
67_4_8_8_67,,933.061769110577,863.128573866279,,,
68_4_8_8_68,,981.25665569559,924.392661417858,,,
69_4_8_8_69,,1081.13097848002,984.896879992706,,,
