Experiment config name,median score,runtime,,,,,128 Tasks,256 Tasks,512 Tasks,1024 Tasks
000_32_128_64_0,3948.04284144331,0.941948890686035,0.941948890686035,3.6742250919342,14.5903465747833,59.1149182319641,-0.025972661002451,0.565165758717338,1.16406560811883,1.77169709320351
001_32_128_64_1,3779.11970505856,0.935118198394775,0.935118198394775,3.70340633392334,14.5662701129913,57.7125978469849,-0.029133491088703,0.568601365006339,1.16334835913287,1.76127062387056
002_32_128_64_2,4166.67185089945,0.962243795394897,0.962243795394897,3.61798667907715,15.4835739135742,58.0164701938629,-0.016714880580938,0.558466963514967,1.18987121163105,1.76355130216467
003_32_128_64_3,3740.39591716033,0.921760559082031,0.921760559082031,3.64577412605286,15.0792407989502,59.4214088916779,-0.035381878701727,0.56178975843647,1.17837947647231,1.77394294478551
004_32_128_64_4,3679.43625684339,0.913894891738892,0.913894891738892,3.77875804901123,14.615790605545,60.3157949447632,-0.039103750177237,0.577349085263595,1.16482231242961,1.7804310560722
005_32_128_64_5,3656.47530315796,0.911117792129517,0.911117792129517,3.67360663414001,14.894339799881,61.4792902469635,-0.040425472461816,0.565092650671876,1.17302125762672,1.78872884510607
006_32_128_64_6,3551.65610905432,0.939749002456665,0.939749002456665,3.57874083518982,14.4695208072662,57.9769129753113,-0.026988126617391,0.55373024884479,1.16045414865836,1.76325508729563
007_32_128_64_7,3996.34651630709,0.930957555770874,0.930957555770874,3.65654397010803,15.5432803630829,57.8020431995392,-0.031070118927033,0.563070800202621,1.19154268069666,1.76194319023025
008_32_128_64_8,3612.91101775124,0.906034469604492,0.906034469604492,3.78928899765015,14.5007634162903,58.9117925167084,-0.042855279503917,0.578557728869209,1.16139086697668,1.77020223727124
009_32_128_64_9,3719.15763323533,0.985500812530518,0.985500812530518,3.60552549362183,14.4662790298462,58.5123090744019,-0.006343013315157,0.556968570677733,1.16035683764163,1.76724723703541
010_32_128_64_10,3923.19825343983,0.918956279754639,0.918956279754639,3.70415568351746,15.1698994636536,58.9043824672699,-0.036705150107876,0.568689231538967,1.18098270257149,1.77014760736009
011_32_128_64_11,3927.15763024317,0.936877250671387,0.936877250671387,3.61531376838684,14.7355532646179,57.4963562488556,-0.028317306495582,0.558145995120335,1.16836644661687,1.75964032275646
012_32_128_64_12,3571.6221871969,0.911820411682129,0.911820411682129,3.77293825149536,14.71262550354,57.2175452709198,-0.040090690065957,0.576679697526923,1.16769018054223,1.75752922190402
013_32_128_64_13,3768.48408686061,0.920284271240234,0.920284271240234,3.71541237831116,14.2811181545258,58.3171148300171,-0.036078000522553,0.570007023664753,1.15476221229515,1.7657960296378
014_32_128_64_14,3745.84118814815,0.935773372650146,0.935773372650146,3.58926343917847,14.6086630821228,57.8635697364807,-0.028829316779696,0.555005335174358,1.16461047311269,1.76240522276224
015_32_128_64_15,4237.80429238378,0.920706748962402,0.920706748962402,3.63274335861206,15.4845159053803,60.0215086936951,-0.035878673372478,0.560234717467563,1.18989763249497,1.77830690760186
016_32_128_64_16,3788.11330090593,0.942262172698975,0.942262172698975,3.79084300994873,14.4702348709106,59.3743631839752,-0.025828243369631,0.578735799376388,1.16047558034589,1.77359896465956
017_32_128_64_17,3627.85140405451,0.91584300994873,0.91584300994873,3.68612575531006,14.5108313560486,61.0709266662598,-0.038178964930629,0.566570147460809,1.16169229479483,1.78583450985979
018_32_128_64_18,4284.69842928243,0.936037302017212,0.936037302017212,3.6203784942627,14.5027303695679,57.4584288597107,-0.028706843850099,0.558753976438396,1.16144977277349,1.75935374649257
019_32_128_64_19,3648.53155102092,0.967603206634522,0.967603206634522,3.62014365196228,15.2142550945282,57.4820652008057,-0.014302701056985,0.55872580423944,1.18225069371322,1.75953236296257
020_32_128_64_20,3884.91135900994,0.936873197555542,0.936873197555542,3.80789709091187,14.7027626037598,58.5873162746429,-0.028319185343266,0.580685202986327,1.16739894500965,1.76780360461602
021_32_128_64_21,3594.67158854947,0.913621425628662,0.913621425628662,3.68238735198975,14.2597436904907,59.1354384422302,-0.039233724199814,0.566129470203729,1.15411171942847,1.77184782110702
022_32_128_64_22,3665.34143235993,0.937947034835815,0.937947034835815,3.59454941749573,14.5897963047028,57.8890595436096,-0.027821685211546,0.55564445862447,1.16404922853765,1.76259649414551
023_32_128_64_23,3836.08234934946,0.93456768989563,0.93456768989563,3.64499163627625,14.4849145412445,58.0298843383789,-0.029389237587969,0.561696536131842,1.16091593727707,1.76365170495616
024_32_128_64_24,3999.48569686401,0.919018745422363,0.919018745422363,3.80027508735657,15.4088735580444,62.3696978092194,-0.036675630125896,0.579815034668638,1.18777089144999,1.79497363983265
025_32_128_64_25,3744.10696397976,0.954094648361206,0.954094648361206,3.69803047180176,14.5348582267761,60.4648513793945,-0.02040854015748,0.567970485428031,1.16241080001225,1.78150298972857
026_32_128_64_26,3868.0903568624,0.968794345855713,0.968794345855713,3.60886526107788,14.6390337944031,57.7840313911438,-0.013768404516975,0.557370667744536,1.16551241336126,1.76180783778254
027_32_128_64_27,3955.66133795586,0.949177265167236,0.949177265167236,3.67318415641785,15.0205292701721,57.5194916725159,-0.02265267261511,0.565042702402244,1.17668523593482,1.75981503932203
028_32_128_64_28,3741.97933656286,0.914197206497192,0.914197206497192,3.70410132408142,14.6896502971649,57.9081907272339,-0.03896011011375,0.568682858109135,1.16701145706872,1.76273999612914
029_32_128_64_29,3744.79653315991,0.94591474533081,0.94591474533081,3.70239877700806,14.1976063251495,58.2414824962616,-0.024148004508232,0.568483193813699,1.1522151297769,1.76523242110841
030_32_256_64_0,4580.71934866386,3.6742250919342,,,,,,,,
031_32_256_64_1,4485.28084657103,3.70340633392334,,,,,,,,
032_32_256_64_2,4595.87844494953,3.61798667907715,,,,,,,,
033_32_256_64_3,5198.50564190221,3.64577412605286,,,,,,,,
034_32_256_64_4,4831.97189456684,3.77875804901123,,,,,,,,
035_32_256_64_5,4247.688927211,3.67360663414001,,,,,,,,
036_32_256_64_6,4529.61910903225,3.57874083518982,,,,,,,,
037_32_256_64_7,4672.80725018381,3.65654397010803,,,,,,,,
038_32_256_64_8,4118.69980185976,3.78928899765015,,,,,,,,
039_32_256_64_9,4686.03037750144,3.60552549362183,,,,,,,,
040_32_256_64_10,4501.15391183501,3.70415568351746,,,,,,,,
041_32_256_64_11,4652.06133302908,3.61531376838684,,,,,,,,
042_32_256_64_12,4576.39439622613,3.77293825149536,,,,,,,,
043_32_256_64_13,4552.82773736073,3.71541237831116,,,,,,,,
044_32_256_64_14,4480.2963866901,3.58926343917847,,,,,,,,
045_32_256_64_15,3923.7744417135,3.63274335861206,,,,,,,,
046_32_256_64_16,3906.32581730591,3.79084300994873,,,,,,,,
047_32_256_64_17,3934.65665986983,3.68612575531006,,,,,,,,
048_32_256_64_18,4682.5067504508,3.6203784942627,,,,,,,,
049_32_256_64_19,4636.63890403388,3.62014365196228,,,,,,,,
050_32_256_64_20,4877.75037990814,3.80789709091187,,,,,,,,
051_32_256_64_21,4527.139380938,3.68238735198975,,,,,,,,
052_32_256_64_22,4404.47094169321,3.59454941749573,,,,,,,,
053_32_256_64_23,4532.78145943664,3.64499163627625,,,,,,,,
054_32_256_64_24,4426.91574498375,3.80027508735657,,,,,,,,
055_32_256_64_25,4910.58696069292,3.69803047180176,,,,,,,,
056_32_256_64_26,4920.09199314024,3.60886526107788,,,,,,,,
057_32_256_64_27,4221.60860336277,3.67318415641785,,,,,,,,
058_32_256_64_28,4599.76209448617,3.70410132408142,,,,,,,,
059_32_256_64_29,4175.93154377576,3.70239877700806,,,,,,,,
060_32_512_64_0,4031.16715615093,14.5903465747833,,,,,,,,
061_32_512_64_1,3848.16331655404,14.5662701129913,,,,,,,,
062_32_512_64_2,4369.84864866851,15.4835739135742,,,,,,,,
063_32_512_64_3,4973.60765706712,15.0792407989502,,,,,,,,
064_32_512_64_4,4530.44717554553,14.615790605545,,,,,,,,
065_32_512_64_5,3990.52965708776,14.894339799881,,,,,,,,
066_32_512_64_6,5787.75208034386,14.4695208072662,,,,,,,,
067_32_512_64_7,4970.23029721205,15.5432803630829,,,,,,,,
068_32_512_64_8,4122.76603605469,14.5007634162903,,,,,,,,
069_32_512_64_9,4943.09544408603,14.4662790298462,,,,,,,,
070_32_512_64_10,4353.73873884021,15.1698994636536,,,,,,,,
071_32_512_64_11,5384.38869415341,14.7355532646179,,,,,,,,
072_32_512_64_12,4815.8259947576,14.71262550354,,,,,,,,
073_32_512_64_13,4658.36428735206,14.2811181545258,,,,,,,,
074_32_512_64_14,4473.40005484831,14.6086630821228,,,,,,,,
075_32_512_64_15,3908.10348595086,15.4845159053803,,,,,,,,
076_32_512_64_16,4063.44952878081,14.4702348709106,,,,,,,,
077_32_512_64_17,5383.97066175086,14.5108313560486,,,,,,,,
078_32_512_64_18,4347.18083685697,14.5027303695679,,,,,,,,
079_32_512_64_19,4312.17254735794,15.2142550945282,,,,,,,,
080_32_512_64_20,4194.34441466156,14.7027626037598,,,,,,,,
081_32_512_64_21,3988.1240946435,14.2597436904907,,,,,,,,
082_32_512_64_22,4765.54778104055,14.5897963047028,,,,,,,,
083_32_512_64_23,5182.91531634184,14.4849145412445,,,,,,,,
084_32_512_64_24,4254.47211499636,15.4088735580444,,,,,,,,
085_32_512_64_25,4703.6186514294,14.5348582267761,,,,,,,,
086_32_512_64_26,4599.63265806743,14.6390337944031,,,,,,,,
087_32_512_64_27,4205.70142306194,15.0205292701721,,,,,,,,
088_32_512_64_28,4360.47258932538,14.6896502971649,,,,,,,,
089_32_512_64_29,4265.35565955047,14.1976063251495,,,,,,,,
090_32_1024_64_0,3972.11047941263,59.1149182319641,,,,,,,,
091_32_1024_64_1,5136.61911911404,57.7125978469849,,,,,,,,
092_32_1024_64_2,3987.04051468512,58.0164701938629,,,,,,,,
093_32_1024_64_3,4578.38874496993,59.4214088916779,,,,,,,,
094_32_1024_64_4,5139.5905034586,60.3157949447632,,,,,,,,
095_32_1024_64_5,4142.69661591695,61.4792902469635,,,,,,,,
096_32_1024_64_6,4199.6790299325,57.9769129753113,,,,,,,,
097_32_1024_64_7,4510.45647009104,57.8020431995392,,,,,,,,
098_32_1024_64_8,4046.23054010426,58.9117925167084,,,,,,,,
099_32_1024_64_9,4266.28442128987,58.5123090744019,,,,,,,,
100_32_1024_64_10,4639.78572733282,58.9043824672699,,,,,,,,
101_32_1024_64_11,4649.92891360048,57.4963562488556,,,,,,,,
102_32_1024_64_12,4448.52989404038,57.2175452709198,,,,,,,,
103_32_1024_64_13,4074.3626422713,58.3171148300171,,,,,,,,
104_32_1024_64_14,4382.71643043497,57.8635697364807,,,,,,,,
105_32_1024_64_15,3791.86752629506,60.0215086936951,,,,,,,,
106_32_1024_64_16,5369.25119578303,59.3743631839752,,,,,,,,
107_32_1024_64_17,4419.01786098658,61.0709266662598,,,,,,,,
108_32_1024_64_18,4302.46013646789,57.4584288597107,,,,,,,,
109_32_1024_64_19,4538.98859877859,57.4820652008057,,,,,,,,
110_32_1024_64_20,4228.18387384914,58.5873162746429,,,,,,,,
111_32_1024_64_21,4527.33057950388,59.1354384422302,,,,,,,,
112_32_1024_64_22,4662.32780311776,57.8890595436096,,,,,,,,
113_32_1024_64_23,3840.71495607164,58.0298843383789,,,,,,,,
114_32_1024_64_24,4509.61651414688,62.3696978092194,,,,,,,,
115_32_1024_64_25,4423.51600696695,60.4648513793945,,,,,,,,
116_32_1024_64_26,4697.02374064564,57.7840313911438,,,,,,,,
117_32_1024_64_27,4324.48007425917,57.5194916725159,,,,,,,,
118_32_1024_64_28,4208.07876756844,57.9081907272339,,,,,,,,
119_32_1024_64_29,4451.81783167286,58.2414824962616,,,,,,,,
