Experiment config name,score,run time,,,,,,,2 Skills,4 Skills,8 Skills
00_4_8_2_0,519.555,0.836250066757202,519.555,757.418,1105.885,0.836250066757202,48.109326839447,644.249129056931,-0.077663834554723,1.68222928016262,2.80905384011231
01_4_8_2_1,591.076,0.366047859191895,591.076,657.111,1048.312,0.366047859191895,31.9988520145416,1785.56132102013,-0.436462128747351,1.50513439792325,3.2517747696357
02_4_8_2_2,554.829,0.588531970977783,554.829,921.005,820.429,0.588531970977783,134.773392915726,450.426959037781,-0.230229939885812,2.12960416185483,2.65362437609498
03_4_8_2_3,899.376,7.56080007553101,899.376,902.44,719.736,7.56080007553101,53.4745690822601,229.226539850235,0.878567754496341,1.72814729355304,2.3602648988243
04_4_8_2_4,600.699,7.00870394706726,600.699,511.02,898.163,7.00870394706726,1.16011881828308,1.78269410133362,0.845637715445017,0.064502471539056,0.251076827471326
05_4_8_2_5,464.941,1.11237192153931,464.941,632.406,847.199,1.11237192153931,1076.7387368679,31.1551010608673,0.046250017881405,3.03211033755866,1.49352916435682
06_4_8_2_6,492.15,0.341427087783813,492.15,875.923,995.095,0.341427087783813,2.97991418838501,45.2550799846649,-0.466702026254789,0.474203758020061,1.65566733681144
07_4_8_2_7,584.85,1.38038897514343,584.85,904.237,991.632,1.38038897514343,74.0120868682861,1549.93335914612,0.14000148202086,1.86930264988706,3.19031302566881
08_4_8_2_8,604.205,20.1114301681519,604.205,599.007,875.124,20.1114301681519,1.76251196861267,364.761541128159,1.30344295533327,0.246132074817927,2.5620090419472
09_4_8_2_9,660.417,3.18343186378479,660.417,837.026,1118.335,3.18343186378479,1.55463695526123,1052.78232502937,0.502895558927689,0.191628987102436,3.02233858504016
10_4_8_2_10,557.15,16.2726449966431,557.15,727.964,843.227,16.2726449966431,39.6977360248566,21.147891998291,1.21145814999186,1.59876573951001,1.32526708380864
11_4_8_2_11,361.701,2.46438694000244,361.701,778.058,953.955,2.46438694000244,8.68390703201294,567.997703075409,0.391708898587569,0.93871516534665,2.75434657947212
12_4_8_2_12,677.162,3.20537209510803,677.162,735.711,1094.336,3.20537209510803,0.652691125869751,1092.88427996635,0.505878451786883,-0.185292292025945,3.03857417912017
13_4_8_2_13,788.252,2.99965691566467,788.252,653.347,1006.385,2.99965691566467,81.6893329620361,1510.94476699829,0.477071585334923,1.91216534982276,3.1792485888749
14_4_8_2_14,690.123,9.65899991989136,690.123,963.361,739.932,9.65899991989136,9.88639497756958,269.235422134399,0.984932162465513,0.995037957242734,2.43013219754853
15_4_8_2_15,535.655,1.29613423347473,535.655,1028.457,1031.708,1.29613423347473,15.2417318820953,3.58053088188171,0.112649981348244,1.18303431766653,0.553947423844583
16_4_8_2_16,980.459,25.4559111595154,980.459,809.279,824.735,25.4559111595154,1735.35299396515,1516.05723500252,1.40578864662842,3.23938782940826,3.18071559732279
17_4_8_2_17,525.236,1.24742007255554,525.236,808.408,1127.419,1.24742007255554,6.06850099563599,157.933595895767,0.096012728114962,0.783081427529754,2.19847452367629
18_4_8_2_18,415.4,15.6461260318756,415.4,1128.156,766.491,15.6461260318756,43.5822839736939,3.59142398834229,1.19440682423083,1.63930998614843,0.555266679124367
19_4_8_2_19,1296.674,3.83018398284912,1296.674,768.076,972.087,3.83018398284912,17.6686251163483,875.296029806137,0.583219635800749,1.24720275620657,2.94215495858608
20_4_8_2_20,701.141,3.95367002487183,701.141,617.408,996.524,3.95367002487183,1.77224087715149,1493.37901210785,0.597000420071894,0.248522749440509,3.1741700434769
21_4_8_2_21,536.123,5.1362669467926,536.123,599.47,641.534,5.1362669467926,9.84473085403442,6.40813207626343,0.710647587199861,0.99320384742127,0.806731454293609
22_4_8_2_22,714.418,7.45659589767456,714.418,915.065,940.88,7.45659589767456,52.7622680664063,51.4079029560089,0.872540607598432,1.72232345608497,1.7110298883796
23_4_8_2_23,550.134,15.7882721424103,550.134,479.059,922.955,15.7882721424103,2.90244603157043,181.518191099167,1.19833460372097,0.462764153162011,2.25892015498153
24_4_8_2_24,863.562,3.15392899513245,863.562,893.832,1066.136,3.15392899513245,25.6454191207886,2108.4550409317,0.498851911767367,1.40900980109561,3.32396434488921
25_4_8_2_25,874.817,54.5858311653137,874.817,857.635,1045.72,54.5858311653137,2.99856114387512,5496.74452900887,1.73707992758982,0.476912908993984,3.74010555282529
26_4_8_2_26,446.974,1.50809407234192,446.974,946.561,564.884,1.50809407234192,2.48980379104614,6.31177091598511,0.178428432929467,0.396165123873464,0.800151227886881
27_4_8_2_27,915.502,93.460275888443,915.502,763.352,879.54,93.460275888443,1.95042896270752,80.7708568572998,1.97062705869826,0.290130137336379,1.90725469011698
28_4_8_2_28,1182.288,25.6567718982697,1182.288,997.373,1129.108,25.6567718982697,2.7255699634552,2361.05534482002,1.40920201310826,0.435457334539297,3.37310616737022
29_4_8_2_29,630.55,11.1657249927521,630.55,554.708,781.093,11.1657249927521,9.88874197006226,49.3303198814392,1.04788692715036,0.995141044861912,1.69311393164486
30_4_8_4_0,757.418,48.109326839447,,,,,,,,,
31_4_8_4_1,657.111,31.9988520145416,,,,,,,,,
32_4_8_4_2,921.005,134.773392915726,,,,,,,,,
33_4_8_4_3,902.44,53.4745690822601,,,,,,,,,
34_4_8_4_4,511.02,1.16011881828308,,,,,,,,,
35_4_8_4_5,632.406,1076.7387368679,,,,,,,,,
36_4_8_4_6,875.923,2.97991418838501,,,,,,,,,
37_4_8_4_7,904.237,74.0120868682861,,,,,,,,,
38_4_8_4_8,599.007,1.76251196861267,,,,,,,,,
39_4_8_4_9,837.026,1.55463695526123,,,,,,,,,
40_4_8_4_10,727.964,39.6977360248566,,,,,,,,,
41_4_8_4_11,778.058,8.68390703201294,,,,,,,,,
42_4_8_4_12,735.711,0.652691125869751,,,,,,,,,
43_4_8_4_13,653.347,81.6893329620361,,,,,,,,,
44_4_8_4_14,963.361,9.88639497756958,,,,,,,,,
45_4_8_4_15,1028.457,15.2417318820953,,,,,,,,,
46_4_8_4_16,809.279,1735.35299396515,,,,,,,,,
47_4_8_4_17,808.408,6.06850099563599,,,,,,,,,
48_4_8_4_18,1128.156,43.5822839736939,,,,,,,,,
49_4_8_4_19,768.076,17.6686251163483,,,,,,,,,
50_4_8_4_20,617.408,1.77224087715149,,,,,,,,,
51_4_8_4_21,599.47,9.84473085403442,,,,,,,,,
52_4_8_4_22,915.065,52.7622680664063,,,,,,,,,
53_4_8_4_23,479.059,2.90244603157043,,,,,,,,,
54_4_8_4_24,893.832,25.6454191207886,,,,,,,,,
55_4_8_4_25,857.635,2.99856114387512,,,,,,,,,
56_4_8_4_26,946.561,2.48980379104614,,,,,,,,,
57_4_8_4_27,763.352,1.95042896270752,,,,,,,,,
58_4_8_4_28,997.373,2.7255699634552,,,,,,,,,
59_4_8_4_29,554.708,9.88874197006226,,,,,,,,,
60_4_8_8_0,1105.885,644.249129056931,,,,,,,,,
61_4_8_8_1,1048.312,1785.56132102013,,,,,,,,,
62_4_8_8_2,820.429,450.426959037781,,,,,,,,,
63_4_8_8_3,719.736,229.226539850235,,,,,,,,,
64_4_8_8_4,898.163,1.78269410133362,,,,,,,,,
65_4_8_8_5,847.199,31.1551010608673,,,,,,,,,
66_4_8_8_6,995.095,45.2550799846649,,,,,,,,,
67_4_8_8_7,991.632,1549.93335914612,,,,,,,,,
68_4_8_8_8,875.124,364.761541128159,,,,,,,,,
69_4_8_8_9,1118.335,1052.78232502937,,,,,,,,,
70_4_8_8_10,843.227,21.147891998291,,,,,,,,,
71_4_8_8_11,953.955,567.997703075409,,,,,,,,,
72_4_8_8_12,1094.336,1092.88427996635,,,,,,,,,
73_4_8_8_13,1006.385,1510.94476699829,,,,,,,,,
74_4_8_8_14,739.932,269.235422134399,,,,,,,,,
75_4_8_8_15,1031.708,3.58053088188171,,,,,,,,,
76_4_8_8_16,824.735,1516.05723500252,,,,,,,,,
77_4_8_8_17,1127.419,157.933595895767,,,,,,,,,
78_4_8_8_18,766.491,3.59142398834229,,,,,,,,,
79_4_8_8_19,972.087,875.296029806137,,,,,,,,,
80_4_8_8_20,996.524,1493.37901210785,,,,,,,,,
81_4_8_8_21,641.534,6.40813207626343,,,,,,,,,
82_4_8_8_22,940.88,51.4079029560089,,,,,,,,,
83_4_8_8_23,922.955,181.518191099167,,,,,,,,,
84_4_8_8_24,1066.136,2108.4550409317,,,,,,,,,
85_4_8_8_25,1045.72,5496.74452900887,,,,,,,,,
86_4_8_8_26,564.884,6.31177091598511,,,,,,,,,
87_4_8_8_27,879.54,80.7708568572998,,,,,,,,,
88_4_8_8_28,1129.108,2361.05534482002,,,,,,,,,
89_4_8_8_29,781.093,49.3303198814392,,,,,,,,,
