Experiment config name,Unguided,Guided,Relative Performance,2 Skills,4 Skills,8 Skills
00_4_8_2_0,1668.184,1704.08,1.02151801000369,1.02151801000369,1.05679497904082,1.31771715639854
01_4_8_2_1,1696.045,1749.228,1.03135706894569,1.03135706894569,1,1.07573298233697
02_4_8_2_2,1440.167,1453.405,1.0091919895401,1.0091919895401,1.14086538643315,1.00847098059919
03_4_8_2_3,1715.918,1715.918,1,1,1.07652238921644,1
04_4_8_2_4,1410.354,1463.782,1.03788268760893,1.03788268760893,1.05878179338974,1.07841622408589
05_4_8_2_5,1450.145,1486.186,1.02485337673129,1.02485337673129,1.25808969529573,1.09429820140549
06_4_8_2_6,1220.466,1238.129,1.01447234089274,1.01447234089274,1,1
07_4_8_2_7,1881.829,1884.555,1.00144859070617,1.00144859070617,1.00929566858514,1.04101650878488
08_4_8_2_8,1652.287,2013.787,1.21878765613964,1.21878765613964,1.11179011909968,1.19258015816313
09_4_8_2_9,1501.224,1501.224,1,1,1.16037615202953,1.0958907971076
10_4_8_2_10,1835.604,1936.123,1.05476072181146,1.05476072181146,1.02297128421254,1.04666996466944
11_4_8_2_11,1314.54,1330.931,1.01246900056293,1.01246900056293,1.00588768810395,1
12_4_8_2_12,2084.164,2084.164,1,1,1.03500144104529,1.0015584335954
13_4_8_2_13,2077.479,2098.811,1.01026821450421,1.01026821450421,1,1.17099224201733
14_4_8_2_14,1981.712,2013.454,1.01601746368796,1.01601746368796,1,1
15_4_8_2_15,1840.831,1893.113,1.02840130354172,1.02840130354172,1.08953219802298,0.998781431223
16_4_8_2_16,2048.972,2048.972,1,1,1.2721615962055,1.00161606930318
17_4_8_2_17,1415.934,1415.934,1,1,1.23688620392107,1
18_4_8_2_18,1284.243,1284.243,1,1,1,1.15380629637202
19_4_8_2_19,1890.84,1890.84,1,1,1,1.423911451873
20_4_8_2_20,1740.733,1811.166,1.04046169056369,1.04046169056369,1,1.16578536369893
21_4_8_2_21,1514.291,1514.291,1,1,1.09365476944356,1.06982832514285
22_4_8_2_22,1582.401,1718.573,1.08605404066352,1.08605404066352,1,1.01227541166155
23_4_8_2_23,1881.33,2133.111,1.13383138524342,1.13383138524342,1.05994672211238,1.00947394525063
24_4_8_2_24,1161.882,1161.882,1,1,1.07041077429405,1.49517731339845
25_4_8_2_25,1558.882,1610.494,1.03310834303045,1.03310834303045,1.01285927203485,1
26_4_8_2_26,1418.343,1459.902,1.02930109289502,1.02930109289502,1,1.00085634112961
27_4_8_2_27,1698.976,1726.094,1.01596137908952,1.01596137908952,1.00427749656023,1.00072475146236
28_4_8_2_28,2125.766,2449.381,1.15223453569208,1.15223453569208,1.06053580586403,1.22146898638427
29_4_8_2_29,1553.65,1579.801,1.01683197631384,1.01683197631384,1.20605607261909,1.14227132248161
30_4_8_4_0,2163.73,2286.619,1.05679497904082,,,
31_4_8_4_1,1784.281,1784.281,1,,,
32_4_8_4_2,2644.83,3017.395,1.14086538643315,,,
33_4_8_4_3,1896.739,2041.882,1.07652238921644,,,
34_4_8_4_4,1568.683,1660.893,1.05878179338974,,,
35_4_8_4_5,1943.491,2445.086,1.25808969529573,,,
36_4_8_4_6,2449.877,2449.877,1,,,
37_4_8_4_7,2137.985,2157.859,1.00929566858514,,,
38_4_8_4_8,1374.227,1527.852,1.11179011909968,,,
39_4_8_4_9,2111.274,2449.872,1.16037615202953,,,
40_4_8_4_10,2675.079,2736.529,1.02297128421254,,,
41_4_8_4_11,2608.664,2624.023,1.00588768810395,,,
42_4_8_4_12,2130.398,2204.965,1.03500144104529,,,
43_4_8_4_13,1415.416,1415.416,1,,,
44_4_8_4_14,2044.645,2044.645,1,,,
45_4_8_4_15,2794.302,3044.482,1.08953219802298,,,
46_4_8_4_16,2061.088,2622.037,1.2721615962055,,,
47_4_8_4_17,2098.763,2595.931,1.23688620392107,,,
48_4_8_4_18,2174.751,2174.751,1,,,
49_4_8_4_19,2282.249,2282.249,1,,,
50_4_8_4_20,1897.836,1897.836,1,,,
51_4_8_4_21,1732.309,1894.548,1.09365476944356,,,
52_4_8_4_22,2785.565,2785.565,1,,,
53_4_8_4_23,1263.939,1339.708,1.05994672211238,,,
54_4_8_4_24,2307.715,2470.203,1.07041077429405,,,
55_4_8_4_25,1604.912,1625.55,1.01285927203485,,,
56_4_8_4_26,1795.684,1795.684,1,,,
57_4_8_4_27,1575.688,1582.428,1.00427749656023,,,
58_4_8_4_28,2445.214,2593.237,1.06053580586403,,,
59_4_8_4_29,1532.049,1847.737,1.20605607261909,,,
60_4_8_8_0,2586.143,3407.805,1.31771715639854,,,
61_4_8_8_1,3117.981,3354.115,1.07573298233697,,,
62_4_8_8_2,2566.645,2588.387,1.00847098059919,,,
63_4_8_8_3,2615.16,2615.16,1,,,
64_4_8_8_4,2442.492,2634.023,1.07841622408589,,,
65_4_8_8_5,2480.27,2714.155,1.09429820140549,,,
66_4_8_8_6,2919.485,2919.485,1,,,
67_4_8_8_7,2910.511,3029.89,1.04101650878488,,,
68_4_8_8_8,2846.934,3395.197,1.19258015816313,,,
69_4_8_8_9,2731.576,2993.509,1.0958907971076,,,
70_4_8_8_10,2480.289,2596.044,1.04666996466944,,,
71_4_8_8_11,2806.486,2806.486,1,,,
72_4_8_8_12,2935.64,2940.215,1.0015584335954,,,
73_4_8_8_13,2798.279,3276.763,1.17099224201733,,,
74_4_8_8_14,1921.162,1921.162,1,,,
75_4_8_8_15,3292.387,3288.375,0.998781431223,,,
76_4_8_8_16,1671.958,1674.66,1.00161606930318,,,
77_4_8_8_17,3345.866,3345.866,1,,,
78_4_8_8_18,2205.937,2545.224,1.15380629637202,,,
79_4_8_8_19,2117.086,3014.543,1.423911451873,,,
80_4_8_8_20,2028.436,2364.721,1.16578536369893,,,
81_4_8_8_21,2151.276,2301.496,1.06982832514285,,,
82_4_8_8_22,2686.916,2719.899,1.01227541166155,,,
83_4_8_8_23,2500.12,2523.806,1.00947394525063,,,
84_4_8_8_24,2152.742,3218.731,1.49517731339845,,,
85_4_8_8_25,3181.53,3181.53,1,,,
86_4_8_8_26,1831.046,1832.614,1.00085634112961,,,
87_4_8_8_27,2916.862,2918.976,1.00072475146236,,,
88_4_8_8_28,3305,4036.955,1.22146898638427,,,
89_4_8_8_29,2536.126,2896.944,1.14227132248161,,,
