Experiment config name,Unguided,Guided,Relative Performance,Log Relative Performance,2 Skills,4 Skills,8 Skills
00_4_8_2_0,2.20976686477661,0.370310068130493,0.167578794864375,-0.775780937114025,-0.775780937114025,-1.87641177392577,-0.937111537278058
01_4_8_2_1,0.202517032623291,0.094286918640137,0.465575252702439,-0.332010112336709,-0.332010112336709,-2.24128329908376,-1.9788133586469
02_4_8_2_2,0.305820941925049,0.228969097137451,0.748703132284405,-0.125690349947976,-0.125690349947976,-1.25860408684047,-1.37245549983273
03_4_8_2_3,3.5772750377655,0.707647085189819,0.197817354751633,-0.703735609896367,-0.703735609896367,-1.1195919519794,-0.650001698444119
04_4_8_2_4,5.82233691215515,0.403471946716309,0.069297251739931,-1.15928398873379,-1.15928398873379,-1.35765775147144,-0.102355592174758
05_4_8_2_5,2.89639115333557,0.400715827941895,0.138350038626661,-0.859020715270096,-0.859020715270096,-1.9009292906145,-1.52395967218915
06_4_8_2_6,3.87329697608948,0.169811010360718,0.043841464108998,-1.35811495078643,-1.35811495078643,0.032572260862553,-0.528962754779971
07_4_8_2_7,7.46051812171936,7.74827694892883,1.03857089045488,0.016436145823081,0.016436145823081,-1.90077602969061,-0.951114233415382
08_4_8_2_8,21.4071328639984,2.72837615013123,0.127451731507664,-0.894654260005495,-0.894654260005495,-0.561287437501631,-2.34525934302026
09_4_8_2_9,6.02759385108948,0.853968143463135,0.14167645739913,-0.848702311157654,-0.848702311157654,-0.756762553518032,-0.837770747737912
10_4_8_2_10,93.9461100101471,0.943670988082886,0.010044811732822,-1.99805819870298,-1.99805819870298,-1.7802089399433,-0.161406742180579
11_4_8_2_11,7.85404300689697,0.476094961166382,0.060617819478236,-1.21739968996777,-1.21739968996777,-0.324571644718706,-0.01648698232967
12_4_8_2_12,124.650252103806,0.268420934677124,0.002153392633764,-2.66687677689714,-2.66687677689714,-0.880963551269187,-0.136774064884166
13_4_8_2_13,57.1989030838013,5.77497005462647,0.100962951093059,-0.995837963718996,-0.995837963718996,-0.212295290588553,-2.89104136580805
14_4_8_2_14,39.5268790721893,0.25,0.006324809999378,-2.19895251639103,-2.19895251639103,0.152244478233202,-1.2116469026105
15_4_8_2_15,5.10875296592712,0.549298048019409,0.107520964838769,-0.968506847133689,-0.968506847133689,-0.984053842953684,0.094762978919892
16_4_8_2_16,12.6343989372253,1.12978792190552,0.089421580521474,-1.04855765826928,-1.04855765826928,-1.17983909803473,0.142378885725389
17_4_8_2_17,4.21114110946655,0.437989950180054,0.104007426679543,-0.982935648674414,-0.982935648674414,-0.755128215366649,0.03202760665399
18_4_8_2_18,48.5408940315247,2.57795596122742,0.053108950971385,-1.27483227684933,-1.27483227684933,-0.272427869685769,-0.791626645680314
19_4_8_2_19,2.27528405189514,0.62053918838501,0.27273042584206,-0.564266409406294,-0.564266409406294,0.116846395036028,-1.90368557414074
20_4_8_2_20,6.14583992958069,0.302332878112793,0.049193093470858,-1.30809586629855,-1.30809586629855,-1.07796338188612,-0.626248890480521
21_4_8_2_21,12.9739577770233,0.144577980041504,0.011143706687373,-1.95297032746457,-1.95297032746457,-1.57517786315711,-1.47544526389677
22_4_8_2_22,4.93116688728333,0.318570137023926,0.064603398000069,-1.18974463844658,-1.18974463844658,-0.770136102847669,-1.87835207140066
23_4_8_2_23,61.0311717987061,0.294164896011353,0.00481991230615,-2.31696086327599,-2.31696086327599,-1.30658796884757,-1.47041856457869
24_4_8_2_24,2.4299738407135,0.445960998535156,0.183525020336931,-0.736304719131097,-0.736304719131097,-1.09871407204835,-1.71564061843595
25_4_8_2_25,23.7054131031036,0.919085025787354,0.038771103536138,-1.4114918375578,-1.4114918375578,-0.62996667612777,-0.264812110474535
26_4_8_2_26,5.06521892547607,0.077752113342285,0.015350197984775,-1.81388601867926,-1.81388601867926,-0.594451740435876,-0.108512268915571
27_4_8_2_27,48.3412301540375,3.24867820739746,0.067203052074713,-1.17261100270352,-1.17261100270352,-0.311495994382484,-0.027232552966129
28_4_8_2_28,24.5474228858948,0.424153089523315,0.017278925429155,-1.76248326965223,-1.76248326965223,-0.860848316649392,-1.19771922360643
29_4_8_2_29,22.0620930194855,1.64631581306458,0.074621923296694,-1.12713356169593,-1.12713356169593,-1.7783979573007,-1.76392137572397
30_4_8_4_0,35.5723249912262,0.472825050354004,0.013291935527707,-1.87641177392577,,,
31_4_8_4_1,36.0750679969788,0.206977844238281,0.005737420765378,-2.24128329908376,,,
32_4_8_4_2,241.913708925247,13.3369460105896,0.055131005472331,-1.25860408684047,,,
33_4_8_4_3,33.8398978710175,2.5694317817688,0.07592906431226,-1.1195919519794,,,
34_4_8_4_4,6.81449294090271,0.299072027206421,0.043887642088716,-1.35765775147144,,,
35_4_8_4_5,1886.2023961544,23.6951248645782,0.012562344800796,-1.9009292906145,,,
36_4_8_4_6,3.47669315338135,3.74747395515442,1.0778845845253,0.032572260862553,,,
37_4_8_4_7,248.820168018341,3.12686800956726,0.012566778788353,-1.90077602969061,,,
38_4_8_4_8,1.35367298126221,0.371728897094727,0.274607606298025,-0.561287437501631,,,
39_4_8_4_9,3.67738509178162,0.643837928771973,0.175080366266468,-0.756762553518032,,,
40_4_8_4_10,143.955169200897,2.3879120349884,0.016587886688917,-1.7802089399433,,,
41_4_8_4_11,37.927582025528,17.963191986084,0.473618169858376,-0.324571644718706,,,
42_4_8_4_12,2.62345314025879,0.345072031021118,0.131533521878374,-0.880963551269187,,,
43_4_8_4_13,72.9500319957733,44.7435250282288,0.61334483075787,-0.212295290588553,,,
44_4_8_4_14,10.2774548530579,14.5925118923187,1.41985657937257,0.152244478233202,,,
45_4_8_4_15,23.8155341148376,2.47062301635742,0.103739979311157,-0.984053842953684,,,
46_4_8_4_16,808.622923851013,53.444983959198,0.066093827398152,-1.17983909803473,,,
47_4_8_4_17,11.9186599254608,2.09459090232849,0.175740470441144,-0.755128215366649,,,
48_4_8_4_18,38.3325951099396,20.4710609912872,0.534037962537504,-0.272427869685769,,,
49_4_8_4_19,12.5579948425293,16.4348859786987,1.30871896228527,0.116846395036028,,,
50_4_8_4_20,4.34102487564087,0.362767934799194,0.083567347617569,-1.07796338188612,,,
51_4_8_4_21,25.8893778324127,0.688563108444214,0.026596355961176,-1.57517786315711,,,
52_4_8_4_22,53.3495059013367,9.05720710754395,0.169771152600628,-0.770136102847669,,,
53_4_8_4_23,4.35503911972046,0.214982986450195,0.049364191810978,-1.30658796884757,,,
54_4_8_4_24,24.510153055191,1.95268392562866,0.07966836931747,-1.09871407204835,,,
55_4_8_4_25,2.11715197563171,0.496346950531006,0.234440869736291,-0.62996667612777,,,
56_4_8_4_26,3.55690693855286,0.904942035675049,0.25441824914408,-0.594451740435876,,,
57_4_8_4_27,3.23593616485596,1.57944297790527,0.488094603057653,-0.311495994382484,,,
58_4_8_4_28,2.68665504455566,0.370137929916382,0.137769056234608,-0.860848316649392,,,
59_4_8_4_29,14.7362139225006,0.245464086532593,0.016657201627468,-1.7783979573007,,,
60_4_8_8_0,86.9488170146942,10.0496778488159,0.115581536286084,-0.937111537278058,,,
61_4_8_8_1,2453.80311512947,25.7647750377655,0.010499935744195,-1.9788133586469,,,
62_4_8_8_2,1225.30288100243,51.9742169380188,0.042417444489724,-1.37245549983273,,,
63_4_8_8_3,258.038480043411,57.7673940658569,0.223871238336772,-0.650001698444119,,,
64_4_8_8_4,2.44010901451111,1.92776298522949,0.790031500135961,-0.102355592174758,,,
65_4_8_8_5,49.4579470157623,1.4800500869751,0.029925425058655,-1.52395967218915,,,
66_4_8_8_6,269.519995212555,79.7311880588532,0.295826615743198,-0.528962754779971,,,
67_4_8_8_7,2343.01505613327,262.217000961304,0.111914347402465,-0.951114233415382,,,
68_4_8_8_8,929.251620054245,4.19637203216553,0.004515861949125,-2.34525934302026,,,
69_4_8_8_9,823.091774940491,119.585222005844,0.145287835022395,-0.837770747737912,,,
70_4_8_8_10,9.55111885070801,6.58639097213745,0.689593656522159,-0.161406742180579,,,
71_4_8_8_11,1467.27142310143,1412.613904953,0.962748870258176,-0.01648698232967,,,
72_4_8_8_12,1697.30331897736,1238.7549290657,0.729837098187063,-0.136774064884166,,,
73_4_8_8_13,2290.15560603142,2.94322609901428,0.001285164244413,-2.89104136580805,,,
74_4_8_8_14,260.673445940018,16.012158870697,0.061426121916467,-1.2116469026105,,,
75_4_8_8_15,2.02071809768677,2.51344108581543,1.24383558928517,0.094762978919892,,,
76_4_8_8_16,1756.11967015266,2437.43472003937,1.38796618560025,0.142378885725389,,,
77_4_8_8_17,32.9058020114899,35.4242029190063,1.07653364311367,0.03202760665399,,,
78_4_8_8_18,9.91812515258789,1.60251808166504,0.16157469854541,-0.791626645680314,,,
79_4_8_8_19,688.687322854996,8.59679388999939,0.012482869372941,-1.90368557414074,,,
80_4_8_8_20,880.465031862259,208.191609144211,0.236456419744311,-0.626248890480521,,,
81_4_8_8_21,13.3755638599396,0.44757604598999,0.033462218914786,-1.47544526389677,,,
82_4_8_8_22,50.9039530754089,0.673595905303955,0.013232683605261,-1.87835207140066,,,
83_4_8_8_23,228.656816959381,7.74043893814087,0.033851774204991,-1.47041856457869,,,
84_4_8_8_24,1606.50594997406,30.9201591014862,0.019246837586867,-1.71564061843595,,,
85_4_8_8_25,6475.8018848896,3519.50383996963,0.543485409611112,-0.264812110474535,,,
86_4_8_8_26,14.8407800197601,11.5596439838409,0.77891080983948,-0.108512268915571,,,
87_4_8_8_27,181.001795053482,170.000550985336,0.939220248810819,-0.027232552966129,,,
88_4_8_8_28,2076.31585383415,131.696488857269,0.063427964783911,-1.19771922360643,,,
89_4_8_8_29,82.9649510383606,1.42880606651306,0.017221803287179,-1.76392137572397,,,
