Experiment config name,with,without,2 Skills,4 Skills,8 Skills
00_4_8_2_0,0.816064834594727,0.574573993682861,0.7040788541859,0.592028757766588,0.068720399768949
01_4_8_2_1,0.39935302734375,0.450714826583862,1.12861252005961,0.400318462938466,0.776026738500812
02_4_8_2_2,0.499350070953369,0.457160949707031,0.915511935012266,0.94248091439614,0.858207679796111
03_4_8_2_3,7.93266415596008,4.32645678520203,0.545397699958268,0.585240003609606,0.71564083334304
04_4_8_2_4,4.9223518371582,4.05278992652893,0.823344218496318,1.4434036039434,0.680266019355907
05_4_8_2_5,1.21560788154602,0.782176971435547,0.643445130053589,0.325387493689442,0.381219368115545
06_4_8_2_6,0.293090105056763,0.422935009002686,1.4430204285497,0.353410946043226,1.20383727218228
07_4_8_2_7,1.47166895866394,1.09895801544189,0.746742675363342,0.396827150420936,0.415145414551246
08_4_8_2_8,15.5359890460968,8.86374092102051,0.570529555261717,0.328725092638242,0.684324322447417
09_4_8_2_9,4.44331789016724,3.53076815605164,0.794624252265404,0.962065167132447,0.755500117908517
10_4_8_2_10,14.4655048847199,8.11069703102112,0.560692288009149,0.905322673667009,0.477335635114808
11_4_8_2_11,1.8059298992157,1.58821415901184,0.879443969393047,2.04475880033105,0.972286912781626
12_4_8_2_12,4.56049585342407,9.23707699775696,2.02545453271746,0.90843426060723,0.841217621058684
13_4_8_2_13,4.15217208862305,1.23559999465942,0.297579187058496,0.546715454458227,1.12191200841821
14_4_8_2_14,7.29797887802124,6.24051308631897,0.855101554913106,1.09948192592703,0.828017081002464
15_4_8_2_15,1.07817888259888,1.27462410926819,1.18220095926549,1.09029059372698,0.261444106394751
16_4_8_2_16,31.7016310691834,13.0308740139008,0.411047431138893,0.476843036932506,0.293047935514835
17_4_8_2_17,0.95802903175354,0.83403205871582,0.870570756284118,0.613644289210563,0.092392344014463
18_4_8_2_18,11.4613931179047,8.86214685440064,0.773217248831332,0.745613291935099,1.15579852877607
19_4_8_2_19,4.08266711235046,2.23699688911438,0.547925370243204,1.47062197110355,0.406913852761872
20_4_8_2_20,2.7977979183197,0.798683881759644,0.285468752596441,0.767984306879918,0.535975464685855
21_4_8_2_21,4.01237607002258,4.34717297554016,1.08344105828437,0.682447004952577,0.849930395128761
22_4_8_2_22,7.27905106544495,3.47382402420044,0.477235836507776,0.591154140383958,0.289601949623888
23_4_8_2_23,10.2384331226349,15.156485080719,1.4803520127715,0.670583444154074,0.510054412389478
24_4_8_2_24,3.13280701637268,1.78488802909851,0.569740817027773,0.460429497217815,0.406268047318575
25_4_8_2_25,42.364040851593,21.2703399658203,0.502084776103706,0.744252668595444,2.13977599238139
26_4_8_2_26,1.61471509933472,0.826313972473145,0.511739794105842,1.22845339963321,1.03182100385492
27_4_8_2_27,88.9558470249176,75.3486831188202,0.84703463166074,0.931216187674211,1.07938634080783
28_4_8_2_28,24.63884806633,20.8779859542847,0.847360473106504,0.537048727099403,0.235956349074107
29_4_8_2_29,9.54815483093262,5.68736505508423,0.595650694379106,0.6294536483699,0.399170007496088
30_4_8_4_0,44.3720490932465,26.2695291042328,,,
31_4_8_4_1,38.5925190448761,15.4492979049683,,,
32_4_8_4_2,132.986294031143,125.337044000626,,,
33_4_8_4_3,37.2316999435425,21.7894802093506,,,
34_4_8_4_4,1.1884069442749,1.71535086631775,,,
35_4_8_4_5,856.997895002365,278.856397151947,,,
36_4_8_4_6,3.04865717887878,1.07742881774902,,,
37_4_8_4_7,90.7499599456787,36.0120480060577,,,
38_4_8_4_8,1.49233198165894,0.490566968917847,,,
39_4_8_4_9,1.43912816047668,1.38453507423401,,,
40_4_8_4_10,27.1847438812256,24.610965013504,,,
41_4_8_4_11,6.98523902893066,14.2831289768219,,,
42_4_8_4_12,0.652462005615234,0.592718839645386,,,
43_4_8_4_13,69.0153419971466,37.7317540645599,,,
44_4_8_4_14,7.32535290718079,8.0540931224823,,,
45_4_8_4_15,15.0996551513672,16.4630119800568,,,
46_4_8_4_16,1124.94231104851,536.420907974243,,,
47_4_8_4_17,6.49091482162476,3.98311281204224,,,
48_4_8_4_18,50.1999621391296,37.4297590255737,,,
49_4_8_4_19,15.0939311981201,22.1974668502808,,,
50_4_8_4_20,2.01975893974304,1.55114316940308,,,
51_4_8_4_21,11.4790041446686,7.83381199836731,,,
52_4_8_4_22,47.5114748477936,28.0866050720215,,,
53_4_8_4_23,2.62218523025513,1.75839400291443,,,
54_4_8_4_24,24.7929728031158,11.4154160022736,,,
55_4_8_4_25,2.87791800498962,2.1418981552124,,,
56_4_8_4_26,3.23396396636963,3.97277402877808,,,
57_4_8_4_27,2.0036518573761,1.86583304405212,,,
58_4_8_4_28,3.61746501922607,1.94275498390198,,,
59_4_8_4_29,8.83266305923462,5.55975198745728,,,
60_4_8_8_0,666.44903087616,45.7986438274384,,,
61_4_8_8_1,1819.28133678436,1411.81096220017,,,
62_4_8_8_2,509.45175409317,437.215407848358,,,
63_4_8_8_3,247.249686956406,176.941972017288,,,
64_4_8_8_4,2.00769686698914,1.36576795578003,,,
65_4_8_8_5,40.5426750183105,15.4556529521942,,,
66_4_8_8_6,40.3638441562653,48.591500043869,,,
67_4_8_8_7,2335.38325595856,969.523649930954,,,
68_4_8_8_8,405.251371145248,277.323369979858,,,
69_4_8_8_9,1180.6003241539,891.943684101105,,,
70_4_8_8_10,16.4877300262451,7.8701810836792,,,
71_4_8_8_11,813.933027982712,791.376430988312,,,
72_4_8_8_12,711.964063882828,598.916716098785,,,
73_4_8_8_13,1413.59211611748,1585.92597007751,,,
74_4_8_8_14,237.486701011658,196.643044948578,,,
75_4_8_8_15,4.962327003479,1.29737114906311,,,
76_4_8_8_16,2960.20414710045,867.481714010239,,,
77_4_8_8_17,226.407007932663,20.9182741641998,,,
78_4_8_8_18,4.08033990859985,4.71605086326599,,,
79_4_8_8_19,1661.9359459877,676.264758825302,,,
80_4_8_8_20,1561.49682998657,836.923989057541,,,
81_4_8_8_21,8.69584608078003,7.39086389541626,,,
82_4_8_8_22,73.394063949585,21.2550640106201,,,
83_4_8_8_23,156.253884077072,79.6979830265045,,,
84_4_8_8_24,2093.31445288658,850.446775197983,,,
85_4_8_8_25,3736.56036496162,7995.40216302872,,,
86_4_8_8_26,4.48267483711243,4.62531805038452,,,
87_4_8_8_27,62.6428837776184,67.6158730983734,,,
88_4_8_8_28,1975.43254804611,466.11585187912,,,
89_4_8_8_29,51.8131339550018,20.6822490692139,,,
